applicant_name,role,city_type,previous_ctc,previous_job_switches,graduation_marks,previous_exp,expected_ctc,Unnamed: 8
Applicant 1,Manager,Non-Metro,"  55,523.00 ",3.0,66.0,19.0,"  71,406.58 ",
Applicant 2,Executive,Metro,"  57,081.00 ",1.0,84.0,18.0,"  68,005.87 ",
Applicant 3,Executive,Metro,"  60,347.00 ",2.0,52.0,28.0,"  76,764.02 ",
Applicant 4,Executive,Metro,"  49,010.00 ",2.0,81.0,33.0,"  82,092.39 ",
Applicant 5,Executive,Metro,"  57,879.00 ",4.0,74.0,32.0,"  73,878.10 ",
Applicant 6,Executive,Non-Metro,"  54,340.00 ",4.0,73.0,31.0,"  59,950.89 ",
Applicant 7,Executive,Non-Metro,"  60,298.00 ",1.0,42.0,46.0,"  66,602.34 ",
Applicant 8,Executive,Non-Metro,"  49,944.00 ",2.0,56.0,37.0,"  57,768.44 ",
Applicant 9,Executive,Metro,"  53,124.00 ",4.0,40.0,37.0,"  70,083.30 ",
Applicant 10,Executive,Non-Metro,"  51,141.00 ",1.0,47.0,60.0,"  85,648.48 ",
Applicant 11,Executive,Metro,"  49,497.00 ",1.0,50.0,25.0,"  74,914.15 ",
Applicant 12,Manager,Non-Metro,"  50,197.00 ",2.0,66.0,62.0,"  85,219.39 ",
Applicant 13,Executive,Metro,"  63,234.00 ",4.0,73.0,23.0,"  82,910.94 ",
Applicant 14,Executive,Non-Metro,"  60,059.00 ",2.0,71.0,56.0,"  74,350.08 ",
Applicant 15,Manager,Metro,"  66,487.00 ",1.0,50.0,27.0,"  103,595.83 ",
Applicant 16,Executive,Metro,"  49,292.00 ",4.0,49.0,19.0,"  70,729.63 ",
Applicant 17,Executive,Non-Metro,"  55,400.00 ",4.0,48.0,52.0,"  70,051.94 ",
Applicant 18,Executive,Metro,"  53,089.00 ",2.0,72.0,23.0,"  69,403.49 ",
Applicant 19,Executive,Metro,"  69,345.00 ",3.0,79.0,56.0,"  84,710.53 ",
Applicant 20,Manager,Metro,"  63,508.00 ",1.0,48.0,30.0,"  95,879.94 ",
Applicant 21,Executive,Non-Metro,"  60,057.00 ",1.0,61.0,60.0,"  73,487.13 ",
Applicant 22,Executive,Non-Metro,"  52,402.00 ",3.0,35.0,30.0,"  61,597.98 ",
Applicant 23,Executive,Metro,"  60,180.00 ",2.0,68.0,18.0,"  63,119.80 ",
Applicant 24,Manager,Non-Metro,"  53,422.00 ",4.0,44.0,34.0,"  98,586.83 ",
